company,job_id,title,recruit_type,job_category,job_function,work_city,work_cities,team_intro,responsibilities,requirements,bonus_points,tags,publish_time,detail_url,fetched_at,source_page
阿里巴巴(蚂蚁集团),26030208903064,【转正实习】算法工程师-大模型,蚂蚁集团2027届转正实习,技术类,,北京,北京|上海|杭州|深圳|重庆,,"1.负责以大模型为代表的AI技术能力的建设和优化，打造业界领先的AI技术系统，主要职责包括AI系统结构设计、RAG 系统开发、大模型训练数据构建、大模型能力评测、大模型推理效果和效率优化等；
2.紧密跟踪、探索大模型方向前沿技术，依托丰富且体系化的业务生态，实践大模型算法的创新应用与落地。","1.计算机或数学相关专业的硕士或博士，发表过机器学习、NLP（含大模型）相关顶会论文者优先；在顶级计算机竞赛、或计算机榜单成绩优异者优先；
2.有良好的代码开发能力，除精通Python外，至少熟练掌握Java、C++等至少一门编程语言；熟练掌握PyTorch、TensorFlow等主流深度学习框架；同时熟悉研发流程、并扎实掌握常用研发技能；
3.良好的表达能力，团队合作能力，能和团队一起探索新技术及业务应用；
4.对大模型为代表的AI技术有浓厚兴趣，并对AI前沿技术有较敏锐的洞察力，熟悉前沿大语言模型或多模态大模型技术；
5.有百亿/千亿参数大模型训练调优经验优先，有强化学习算法调优经验优先，熟悉大模型训练与加速框架诸如Deepspeed/Megatron-LM/vLLM等优先。",,C/C++|DeepSpeed框架|Java|Megatron-LM框架|Python|PyTorch框架|PyTorch深度学习框架|RL|TensorFlow框架|TensorFlow深度学习框架|vLLM推理框架|人工智慧|人工智能|分布式训练|参加算法相关竞赛/获奖|发表算法相关优秀论文|基础大模型|多模态算法|大模型算法|大规模语言模型|大语言模型|对话系统|强化学习|强化学习算法|意图挖掘|摘要生成|文本生成|机器学习|检索增强式生成|检索增强生成|模型加速/性能优化|深度学习|算法工程化经验|自然语言处理|语义理解|需求多多|急需简历,2026-03-04T05:52:57.000+00:00,https://talent.antgroup.com/campus-position?positionId=26030208903064&tid=218edb8917733861543426236e2c96,2026-03-13T07:15:54.297388+00:00,1
阿里巴巴(蚂蚁集团),26030208906673,【转正实习】算法工程师-智能体,蚂蚁集团2027届转正实习,技术类,,北京,北京|上海|杭州,,"1. Agent核心算法研发：负责AI智能体（Agent）核心算法的设计与实现，包括任务规划、记忆管理、工具调用等模块，并探索强化学习（RL）在其中的应用。
2. 模型优化与对齐：应用SFT、RLHF等对齐技术，负责模型输出的逻辑校验与“幻觉”缓解，提升Agent决策的准确性与可靠性。
3. 性能与推理优化：研究并应用量化、并行计算等技术，优化大模型推理效率，提升Agent的响应速度与运行性能。
4. 框架开发与原型验证：参与Agent框架的开发、测试与迭代，并快速将前沿算法思想转化为可交互的产品原型。
5. 大模型和产品结合：创建产品和模型训练之间的数据飞轮，构建产学研的轮转迭代。
6. 基于执行反馈的学习算法研发：使AI系统能够从实践中学习并生成更有效的训练算法，深入理解奖励函数设计、探索-利用平衡以及如何避免多样性崩溃等关键问题。","1. 计算机科学、人工智能等相关专业本科及以上学历；
2. 编程基础扎实，熟练掌握Python；对大模型（如Transformer）的基本原理有良好理解。
3. 对AI Agent、强化学习等技术领域有浓厚兴趣，具备优秀的逻辑分析能力和快速学习能力。
4. 积极关注并体验各类前沿AI应用，对大模型的能力边界有自己的思考和见解。
【加分项】
1. 有Agent项目开发、模型微调（SFT/RL）或推理优化（如量化）的实践经验。
2. 熟悉一种或多种主流AI框架，如LangChain, vLLM, DeepSpeed, Megatron-LM等。
3. 在GitHub上有高质量的开源贡献，或在相关顶会/技术竞赛中取得优异成绩。
4. 重度大模型、AI产品使用者。",,AI Agent|Python|RL|Transformer架构|人工智能代理|人类反馈强化学习|函数调用|分布式训练|参加算法相关竞赛/获奖|基于人类反馈的强化学习|外部工具集成|大型语言模型|大模型算法|大规模预训练模型|奖励驱动学习|工具使用|并行计算|张量并行|强化学习|强化学习算法|推理量化|数据并行|智能体|智能体记忆|有监督微调|机器学习|权重量化|模型加速/性能优化|模型并行|模型量化|深度学习|监督微调|算法工程化经验|编码器-解码器结构|自注意力模型|自然语言处理算法|记忆检索与更新|长期记忆|需求多多|急需简历,2026-03-04T05:52:57.000+00:00,https://talent.antgroup.com/campus-position?positionId=26030208906673&tid=218edb8917733861543426236e2c96,2026-03-13T07:15:54.297388+00:00,1
阿里巴巴(蚂蚁集团),26030208908100,【转正实习】算法工程师-算法工程,蚂蚁集团2027届转正实习,技术类,,北京,北京|上海|杭州|深圳,,"你是整个集团广告/推荐/搜索引擎平台和业务背后的支持者；
是驱动商业变革的多项领先算法技术的核心引擎。
在这里你可以：
面向蚂蚁的科技服务平台，基于大数据、大规模分布式集群计算环境，进行机器学习建模；
算法产品化建设，参与模型在线实时计算框架开发落地；
算法研究和创新，结合实际业务需求，抽象算法问题，给出创新方案；
算法效果迭代改进，进行特征工程开发及应用；
支持各种深度学习网络的灵活拆分；
支持超TB的模型，驱动异构计算和实时计算的发展；
深度学习当前重点发展的图表征学习、网络的灵活拆分、超TB的模型、驱动异构计算和实时计算，不断追求效率的极致；
借助已有的该领域密切相关的技术方向丰满自己！
我们正在定义大数据AI技术的未来,欢迎加入算法人的理想国~","必须具备的：
1.本科及以上学历，计算机、数学、统计、运筹学，控制论等相关专业背景，硕士及以上学历优先；
2.在智能营销、搜索、推荐、广告、图像处理、知识图谱、自然语言处理等方向有项目经验，对上述方向至少之一有深入研究；
3.掌握传统机器学习算法、深度学习算法建模，理解常见优化方法，具备独立编码建模能力；
4.熟悉至少一种主流深度学习训练框架（Keras/Tensorflow/PyTorch）；
5.有较强的工程实现能力，熟练使用C/C++、Java、Python等至少一门编程语言；
6.对数据敏感，逻辑思维清晰，有一定量化建模的能力；
7.学习能力强，对新事物保有好奇心，并能快速适应新环境；
8.良好的沟通能力和团队协同能力，能与他人合作，共同完成目标；
9.对所在领域有热情，相信方法总比困难多，善于独立思考并反思总结。

有一定了解的：
1.了解常用的优化方法；
2.自己所在学科的前沿方向和研究动态。

可以加分的：
1.学术专长产出实际成果并发表在国际顶级会议、期刊，担当一作/并列/二作；
2.作为重要角色参与领域内有含金量的比赛并取得成绩，热衷于数据结构和算法、在ACM大赛成绩优异者优先。",,C/C++|Java|Python|TB级模型|分布式训练|参加算法相关竞赛/获奖|发表算法相关优秀论文|图像算法|图表示学习|大数据处理工具(Spark/Hadoop/Hive)|大模型算法|并行计算|推荐算法|推荐系统|搜索引擎|搜索算法|数据挖掘|机器学习|模型加速/性能优化|模型工业化|流式计算|深度学习|深度神经网络|混合计算|特征构造|算法工程化经验|自然语言处理算法|计算广告|运筹优化,2026-03-04T05:52:57.000+00:00,https://talent.antgroup.com/campus-position?positionId=26030208908100&tid=218edb8917733861543426236e2c96,2026-03-13T07:15:54.297388+00:00,1
阿里巴巴(蚂蚁集团),26030208912013,【转正实习】算法工程师-多模态,蚂蚁集团2027届转正实习,技术类,,北京,北京|上海|杭州|重庆,,"1. 研发和探索多模态内容理解或生成算法（文本/图像/声音/视频等），并应用于搜索推荐、内容生成、智能交互等核心业务中；
2. 提出和实现业界领先的多模态算法创新，包括但不限于多模态预训练、多模态大模型、多模态表征学习等等，并应用到核心业务中。","1. 计算机相关专业本科及以上学历；
2. 熟悉基本的数据结构和算法，coding 能力过关，熟悉 Linux 平台、Java/Scala/Python/C++/Golang 中一种或多种语言编程；
3. 熟悉深度学习框架，如 TensorFlow/pytorch 等；有 spark/hadoop 等大数据处理经验优先；
4. 有多模态、NLP、计算机视觉相关领域经验者优先；
5. 具有快速学习能力，对快速发展的技术前沿有了解；有责任感，良好的团队合作和沟通能力；
6. 具备优秀的逻辑思维能力，对解决有挑战的事情充满热情。",,AI内容生成|C/C++|Java|Python|Scala|TensorFlow/PyTorch|人机交互|信息检索|内容|图像算法|多模态大语言模型|多模态学习|多模态算法|多模态融合|多源信息融合|大数据处理框架(Spark/Hadoop/Hive)|大模型算法|大规模多模态模型|推荐|推荐算法|推荐算法经验|推荐系统|搜索|搜索/信息检索算法经验|搜索/推荐|搜索算法|智能交互|智能对话|有国际期刊/会议论文发表|深度学习|深度学习经验|生成式AI|算法工程化经验|统一表征学习|自然语言处理|自然语言处理算法|自然语言处理经验|英文读写能力良好|视频理解|计算机视觉|语音/图像识别|语音算法|语音识别|跨模态表征|跨模态预训练|预训练模型|需求多多|急需简历,2026-03-04T05:52:57.000+00:00,https://talent.antgroup.com/campus-position?positionId=26030208912013&tid=218edb8917733861543426236e2c96,2026-03-13T07:15:54.297388+00:00,1
阿里巴巴(蚂蚁集团),26030308926155,【转正实习】AI工程师-应用方向,蚂蚁集团2027届转正实习,技术类,,北京,北京|上海|杭州|深圳|重庆|成都,,"1. AI应用工程化：参与大模型应用的全流程开发，包括Agent架构设计、RAG系统搭建、工具链封装等，推动AI技术在业务场景落地等；
2. 智能体能力建设：参与AI Agent的任务规划、意图识别、记忆管理等核心模块开发，打造""听得懂、办得成""的智能助手；
3. 技术攻关与优化：针对模型效果、系统性能、安全合规等挑战，参与技术方案设计和持续优化，以确保AI服务安全可靠，推动技术生态建设。","必须具备的：
1. 本科及以上学历，计算机/软件工程/人工智能/数学/统计学/金融工程等相关专业；
2. 工程能力：熟练掌握Python/Java至少一门语言，具备扎实的算法和数据结构基础；
3. 对AIGC、智能体等前沿技术保持好奇，具备快速学习和问题解决能力。

加分项：
1. 了解LLM基本原理，对AI Agent、RAG、Prompt工程有认知或实践经历（课程项目、开源贡献、个人作品均可）；
2. 参与过AI竞赛/开源项目/技术博客创作有大模型相关实习经历或落地作品；
3. 有大模型后训练经验。",,AI Agent|Java|Python|人工智能|人工智能生成内容|大模型技术|大模型算法|大语言模型|工具封装|工具链开发|意图理解|提示工程|提示词工程|智能体|智能体记忆|检索增强|检索增强生成|模型加速/性能优化|生成式人工智能|用户意图识别|算法工程化经验|自然语言处理算法|长期记忆|需求多多|急需简历,2026-03-04T05:52:57.000+00:00,https://talent.antgroup.com/campus-position?positionId=26030308926155&tid=218edb8917733861543426236e2c96,2026-03-13T07:15:54.297388+00:00,1
阿里巴巴(蚂蚁集团),26030308931579,【转正实习】算法工程师-搜索推荐,蚂蚁集团2027届转正实习,技术类,,北京,北京|上海|杭州,,"你是搜索推荐领域的专家，
用搜索推荐算法给用户提供贴心的内容推荐，
在这里，你可以：
参与并负责各类场景的算法，包括个性化推荐系统、内容生态构建、内容理解等核心算法能力；
深度参与内容分发算法设计，提升流量匹配的效率和用户粘性；
建设包括召回、粗排、精排、重排、混排等推荐算法，打造业界一流的内容算法；
参与设计多模态内容理解和推荐分发系统，推动解决内容的一致性和标准化问题。
一段全新、有趣的旅程正待开启。","必须具备的：
计算机、统计等相关专业本科及以上学历；
熟练掌握Java/C++/Python中至少一门语言，熟悉tensorflow或者pytorch至少一种机器学习常用框架；
有相关推荐系统、机器学习、计算机视觉、数据挖掘等相关领域研究及实践经验。

可以加分的：
有顶级会议论文发表（发布顶刊顶会至少一篇，担当一作/并列/二作）；
作为重要角色参与领域内有含金量的比赛并取得成绩（比如ACM）。",,C/C++|Java|Python|个性化推荐|候选生成|内容|内容分发|内容分析|内容生态|分发算法|分布式训练|初步排序|参加算法相关竞赛/获奖|发表算法相关优秀论文|召回算法|多模态推荐|多模态理解|多模态算法|多路融合排序|并行计算|推荐|推荐算法|推荐系统|搜索|搜索算法|数据挖掘|机器学习|深度学习|混合排序|生态建设|算法工程化经验|粗排序|精排序|精细排序|结果重排|语义理解|跨模态分发|跨模态理解|重排序,2026-03-04T05:52:57.000+00:00,https://talent.antgroup.com/campus-position?positionId=26030308931579&tid=218edb8917733861543426236e2c96,2026-03-13T07:15:54.297388+00:00,1
阿里巴巴(蚂蚁集团),26030308940390,【转正实习】大模型研发工程师,蚂蚁集团2027届转正实习,技术类,,北京,北京|上海|杭州,,"1.参与蚂蚁大模型平台的设计与开发，支撑大模型的研发训练以及在业务场景的应用落地。
2.独立承接项目需求，负责业务需求分析、系统核心方案设计和代码编写。
3.学习业界大模型与生成式人工智能进展，参与相关的工程能力建设。
4.负责线上系统的维护和管理，定位和优化线上问题快速，保障系统稳定运行。","1.计算机相关专业硕士及以上学历，并具有扎实的算法基础
2.具有良好的Java基础，对JVM的常用知识有一定的了解，具有Java IO、多线程、网络等方面的编程能力
3.熟悉Spring、MyBatis等常用Java框架，能够进行工程应用
4.熟悉数据库的设计，具备SQL编写及调优能力
5.较好的表达和沟通能力，热爱技术研发，具有快速学习能力，注重代码质量
6.有生成式AI相关经验者优先
7.有高并发或分布式应用经验者优先
8.了解Linux系统和K8s的基本操作者优先
9.有机器学习算法背景、Python工程背景者优先",,AIGC|Java|Java开发|Java编程|JVM|Kubernetes|Linux操作系统|Linux系统|MyBatis|MyBatis框架|MySQL|Python|Shell|Spring|Spring Boot|Spring框架|SQL|SQL数据库|云计算经验|关系型数据库|分布式架构|分布式系统|分布式经验|大数据经验|大模型算法|大语言模型|容器编排平台|持久层框架|搜索/推荐/广告经验|机器学习|生成式AI|生成式大模型|算法工程化经验|自然语言处理算法|金融|高并发处理|高并发系统|需求多多|急需简历,2026-03-04T05:52:57.000+00:00,https://talent.antgroup.com/campus-position?positionId=26030308940390&tid=218edb8917733861543426236e2c96,2026-03-13T07:15:54.297388+00:00,1
阿里巴巴(蚂蚁集团),26030609041546,【转正实习】智能体研发工程师,蚂蚁集团2027届转正实习,技术类,,北京,北京|上海|杭州,,"1. 参与AI Infra 基础设施平台或者面向金融、风控、营销、Web3、企业服务等AI应用场景的智能体（Agent）系统的设计、开发与优化；
2.  参与基于大语言模型（LLM）或多模态模型的智能体核心模块研发，包括但不限于任务规划、工具调用、记忆机制、对话管理、推理引擎等， 探索和实现智能体在复杂业务场景中的落地应用，如智能客服、自动化流程、决策辅助、数字员工等；
3. 参与AI Infra 平台系统架构设计和核心技术细节实现，帮助团队攻克各种技术难关，保障和提升平台稳定性;
4. 与算法、产品、数据及业务团队紧密协作，推动智能体系统的全链路端到端交付与迭代；
5. 跟踪前沿技术进展，通过AI Coding 持续提升系统智能化水平与工程效率。","1. 计算机科学、人工智能、软件工程、电子信息等相关专业本科及以上学历；
2. 扎实的编程基础，熟练掌握 Python、Java、C++ 等至少一种主流编程语言；
3. 熟悉常用数据结构、算法及软件工程实践，具备良好的代码规范和系统设计能力；
4. 对大模型、智能体（Agent）、强化学习、自然语言处理或相关领域有浓厚兴趣，有项目或研究经验者优先；
5. 具备良好的学习能力、沟通能力和团队协作精神，对解决复杂问题有热情；
6. 有开源项目贡献、竞赛获奖（如ACM、Kaggle、AI挑战赛等）或高质量技术博客者优先。

加分项：
1. 熟悉 LangChain、LlamaIndex、AutoGen、Semantic Kernel 等智能体开发框架；
2. 了解 Agent 系统中的工具调用（Function Calling）、记忆（Memory）、反思（Reflection）等机制；
3. 有 LLM 微调、Prompt Engineering、RAG 或 Agent Evaluation 相关实践经验；
4. 对金融、保险、风控、营销、Web3等垂直领域有一定了解。",,Agent|Agent推理|Agent规划|AI基础设施|AI工程平台|C++|C/C++|Function Calling|Java|LLM|Memory|Python|云计算经验|人工智能基础设施|优秀开源项目经历|会话管理|保险|函数调用|分布式经验|区块链|参加算法相关竞赛/获奖|多模态AI模型|多模态大模型|多模态算法|多轮对话管理|大模型|对话系统|工具使用|意图挖掘|推理系统|文本生成|智能代理|智能体记忆|智能规划|架构设计经验|检索增强生成|检索增强问答|算法工程化经验|自主智能体|营销|行为规划|语义理解|逻辑推理引擎|金融|长期记忆|风控|需求多多|急需简历,2026-03-06T13:33:46.000+00:00,https://talent.antgroup.com/campus-position?positionId=26030609041546&tid=218edb8917733861543426236e2c96,2026-03-13T07:15:54.297388+00:00,1
阿里巴巴(蚂蚁集团),26030909052583,【转正实习】安全对抗工程师,蚂蚁集团2027届转正实习,技术类,,北京,北京|杭州,,负责开展业务数据反爬方向的红蓝对抗和实战攻防等工作，包括但不限于：Web/移动端底层协议分析、JS混淆解密、App脱壳与核心算法还原、高级环境模拟（如设备指纹伪造）等。深入研究并突破复杂业务场景下的风控与访问限制（如端侧环境检测、通信链路加密、行为验证等）。探索智能逆向分析、动态策略对抗、自动化破解复杂人机验证等前沿场景中的应用落地，构建高效、无感、稳定的底层自动化对抗能力。,"1. 熟悉Web前端或移动端（Android/iOS）底层运行机制，了解逆向工程基本原理，能够应对并突破高强度的业务保护与风控策略；
2. 熟练使用Python、Java、JavaScript、C/C++等主流编程语言（至少掌握一门）；
3. 深入理解网络通信协议，熟练使用主流抓包分析与逆向调试工具，具备对抗复杂风控环境的实战思路与自动化对抗工程落地能力；
4. 具备良好的分析和解决问题的能力，拥有钻研技术的热情，能够独立进行技术研究。",,,2026-03-09T05:55:26.000+00:00,https://talent.antgroup.com/campus-position?positionId=26030909052583&tid=218edb8917733861543426236e2c96,2026-03-13T07:15:54.297388+00:00,1
阿里巴巴(蚂蚁集团),26030909055620,【转正实习】AI安全研究工程师,蚂蚁集团2027届转正实习,技术类,,北京,北京|杭州,,开展团队前沿安全研究方向，包括但不限于：内生安全研究、自进化Agent研究、研究AI时代下各类新型攻击风险、通过AI技术助力安全研究与安全攻防工作等,"1.熟悉深度学习、大模型相关基础知识，具备一定的算法开发、模型微调和实验能力；
2.熟练使用 Python 等编程语言，具备基本的工程实现能力；
3.了解安全领域相关知识，对 AI 安全、大模型安全方向有兴趣，熟悉主流大模型服务及本地大模型部署流程；
4.有实际Agent、本地推理部署或模型微调项目经验者优先；
5.具备良好的学习能力、分析与解决问题能力，能够独立开展技术调研与实验。",,,2026-03-09T05:55:26.000+00:00,https://talent.antgroup.com/campus-position?positionId=26030909055620&tid=218edb8917733861543426236e2c96,2026-03-13T07:15:54.297388+00:00,1
